ForageQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality
OTUID	8869.3.d21.HQNoRum	8829.3.d21.HQ40MDGSNoRum	8804.3.d21.HQ40MDGSRum	8789.3.d21.HQNoRum	8878.3.d21.HQRum	8847.3.d21.HQ40MDGSNoRum	8871.4.d21andCnSt.HQRum	8792.4.d21andCnSt.HQRum	8946.3.d21.HQRum	8958.3.d21.HQ40MDGSNoRum	8966.3.d21.HQRum	8995.3.d21.HQNoRum	8861.2.d63.HQNoRum	8869.2.d63.HQNoRum	8804.2.d63.HQ40MDGSRum	8802.2.d63.HQNoRum	8789.2.d63.HQNoRum	8792.2.d63.HQRum	8966.2.d63.HQRum	8942.2.d63.HQ40MDGSNoRum	8974.2.d63.HQ40MDGSRum	8998.2.d63.HQNoRum	8990.2.d63.HQRum	8995.8.d63.HQNoRum	8989.8.d63.HQ40MDGSRum	8859.8.d63.HQRum	8814.8.d63.HQ40MDGSRum	8813.3.d21.40DeoiledMDGS	8798.3.d21.20DeoiledMDGS	8815.3.d21.20NormalMDGS	8809.3.d21.LQ40MDGSNoRum	8849.3.d21.20DeoiledMDGS	8882.3.d21.20NormalMDGS	8943.3.d21.40NormalMDGS	8945.3.d21.40DRC	8836.3.d21.40NormalMDGS	8973.3.d21.40DeoiledMDGS	8968.4.d21andCnSt.LQ40MDGSNoRum	8975.3.d21.20DeoiledMDGS	8879.4.d21andCnSt.20NormalMDGS	8972.4.d21andCnSt.20DeoiledMDGS	8976.4.d21andCnSt.20DeoiledMDGS	8996.3.d21.20NormalMDGS	8997.3.d21.20NormalMDGS	8963.3.d21.LQ40MDGSNoRum	8934.4.d21andCnSt.40DeoiledMDGS	8831.2.d63.40NormalMDGS	8824.2.d63.LQ40MDGSNoRum	8798.2.d63.20DeoiledMDGS	8815.2.d63.20NormalMDGS	8845.2.d63.40DeoiledMDGS	8842.2.d63.20NormalMDGS	8812.2.d63.40DeoiledMDGS	8796.2.d63.40DRC	8821.2.d63.LQ40MDGSNoRum	8949.2.d63.LQ40MDGSNoRum	8941.2.d63.20NormalMDGS	8951.2.d63.LQ40MDGSNoRum	8964.2.d63.20DeoiledMDGS	8979.2.d63.LQ40MDGSNoRum	8937.8.d63.40DRC	8963.8.d63.LQ40MDGSNoRum	8934.8.d63.40DeoiledMDGS
11574	0	0	0.00129795211999	0.000865301413326	0.000288433804442	0.000432650706663	0.000432650706663	0.000432650706663	0	0.000432650706663	0	0	0.000865301413326	0.000432650706663	0	0.00201903663109	0.000144216902221	0.000576867608884	0	0.000576867608884	0.000288433804442	0.000576867608884	0.000865301413326	0	0	0.000144216902221	0	0.000432650706663	0	0	0.000144216902221	0	0	0	0	0.000144216902221	0	0.000288433804442	0	0	0	0	0	0.000144216902221	0	0	0.000288433804442	0	0.000432650706663	0	0.000144216902221	0	0	0.00100951831555	0	0.000144216902221	0	0	0	0.000144216902221	0.000288433804442	0	0
11580	0	0	0	0.000144216902221	0	0	0	0	0.000576867608884	0	0.000144216902221	0.000144216902221	0.000144216902221	0	0	0.000288433804442	0	0	0	0	0.000432650706663	0	0	0	0	0	0	0.000144216902221	0	0.000144216902221	0	0	0.000144216902221	0.000144216902221	0.000432650706663	0.000432650706663	0	0	0.000144216902221	0.000144216902221	0	0	0.000144216902221	0	0	0.000432650706663	0.000144216902221	0	0.000432650706663	0	0.000288433804442	0	0.000432650706663	0.000144216902221	0.000288433804442	0.000144216902221	0.000144216902221	0	0.000576867608884	0.000288433804442	0	0	0
11606	0.000288433804442	0.000144216902221	0	0.000288433804442	0.000865301413326	0.000721084511105	0.000288433804442	0.000144216902221	0.000144216902221	0.000432650706663	0.000432650706663	0.000432650706663	0	0.000288433804442	0.000288433804442	0	0.000432650706663	0.000288433804442	0.000432650706663	0.000144216902221	0.000576867608884	0.000288433804442	0.000576867608884	0	0	0.000432650706663	0.000144216902221	0	0.000144216902221	0.000144216902221	0.000144216902221	0	0.000288433804442	0	0.000288433804442	0.000144216902221	0	0	0	0.000432650706663	0	0	0.000865301413326	0	0.000288433804442	0.000144216902221	0	0	0.000144216902221	0.000288433804442	0	0	0	0	0	0.000144216902221	0	0	0	0	0.000721084511105	0.000288433804442	0.000144216902221
11619	0.000144216902221	0.000432650706663	0.000288433804442	0.00576867608884	0.00389385635997	0.00331698875108	0.000721084511105	0.00158638592443	0.00533602538217	0.00490337467551	0	0.0034612056533	0.00173060282665	0.00764349581771	0.000432650706663	0.000288433804442	0.00129795211999	0.000576867608884	0.00461494087107	0.00245168733776	0.000144216902221	0	0.00173060282665	0	0	0.00115373521777	0.000144216902221	0.000432650706663	0.000432650706663	0.000432650706663	0	0	0.000144216902221	0	0.000576867608884	0.000144216902221	0	0.000288433804442	0.000144216902221	0	0	0.000144216902221	0	0	0.000144216902221	0.000288433804442	0.000144216902221	0.000144216902221	0.000865301413326	0.000576867608884	0.000576867608884	0.000144216902221	0.000865301413326	0.000144216902221	0.000576867608884	0.000288433804442	0.000144216902221	0.000144216902221	0.000144216902221	0	0.000288433804442	0	0.00115373521777
11751	0.000288433804442	0.000144216902221	0	0.000144216902221	0.000144216902221	0.000288433804442	0	0	0.000432650706663	0.000144216902221	0.000288433804442	0	0.000144216902221	0.000144216902221	0.000144216902221	0.000144216902221	0	0	0	0	0	0.000288433804442	0.000288433804442	0	0	0.000144216902221	0	0.00173060282665	0.000432650706663	0	0.000144216902221	0.00115373521777	0.000144216902221	0.00173060282665	0.000432650706663	0.000576867608884	0.000432650706663	0.000288433804442	0	0.000432650706663	0.000144216902221	0.00115373521777	0.000144216902221	0.000144216902221	0.000576867608884	0.000144216902221	0.000288433804442	0.000288433804442	0	0.000432650706663	0.000144216902221	0.000432650706663	0	0.000288433804442	0.000432650706663	0.00100951831555	0.00100951831555	0.000576867608884	0.000432650706663	0.000144216902221	0	0.000288433804442	0.000144216902221
11	0.00158638592443	0.00115373521777	0.0062013267955	0.0536486876262	0.0301413325642	0.0336025382175	0.0145659071243	0.00951831554658	0.0436977213729	0.0219209691376	0.0116815690799	0.0165849437554	0.00374963945774	0.0363426593597	0.000576867608884	0.00259590423998	0.00937409864436	0.00461494087107	0.0138448226132	0.0145659071243	0.000721084511105	0	0.0105278338621	0	0	0.00317277184886	0.000432650706663	0.00158638592443	0.00100951831555	0	0.000576867608884	0.000144216902221	0.000576867608884	0.00115373521777	0	0.000432650706663	0.000288433804442	0.000576867608884	0.00100951831555	0.000288433804442	0.000144216902221	0.000432650706663	0.000721084511105	0.000576867608884	0.000865301413326	0.000576867608884	0.00100951831555	0.000865301413326	0.0034612056533	0.000288433804442	0.00129795211999	0	0.0027401211422	0.00288433804442	0.00144216902221	0.00173060282665	0.000144216902221	0.000865301413326	0	0.000432650706663	0.000865301413326	0.000144216902221	0.000288433804442
110	0.000144216902221	0	0	0.000576867608884	0.000144216902221	0	0.000288433804442	0.00144216902221	0.000144216902221	0	0.000144216902221	0.00158638592443	0.000144216902221	0.000144216902221	0	0.00302855494664	0.000432650706663	0	0.000144216902221	0	0	0	0	0	0	0.000144216902221	0.00591289299106	0.000865301413326	0.000288433804442	0	0	0.000288433804442	0	0	0.000288433804442	0	0	0	0.000288433804442	0.000144216902221	0.000144216902221	0.000144216902221	0.000144216902221	0	0	0.000288433804442	0.000865301413326	0	0.000144216902221	0.000144216902221	0	0.000288433804442	0.000144216902221	0.000144216902221	0.000144216902221	0.000288433804442	0	0	0	0.000432650706663	0.000144216902221	0.000432650706663	0.000144216902221
1128	0.00100951831555	0.00360542255552	0.000288433804442	0.00129795211999	0.00490337467551	0.000576867608884	0	0	0	0.000144216902221	0.000432650706663	0.000144216902221	0.000144216902221	0.000144216902221	0.000144216902221	0	0.000144216902221	0.000144216902221	0	0	0	0.000288433804442	0.000144216902221	0	0.000288433804442	0	0	0.000576867608884	0.000144216902221	0.000144216902221	0.000288433804442	0.000576867608884	0.000288433804442	0.000432650706663	0.000144216902221	0.000432650706663	0.000288433804442	0	0.000576867608884	0	0	0	0.000576867608884	0.00100951831555	0.000576867608884	0	0.000144216902221	0.000288433804442	0	0.000288433804442	0	0.000144216902221	0	0	0	0	0	0.000144216902221	0	0.000721084511105	0.000144216902221	0	0
11875	0.000144216902221	0.000144216902221	0.000432650706663	0.000432650706663	0.000144216902221	0.000144216902221	0.000144216902221	0.000432650706663	0.000144216902221	0.000144216902221	0	0.000576867608884	0.00187481972887	0.000576867608884	0.000288433804442	0.00374963945774	0.00216325353331	0.000576867608884	0.000432650706663	0.000144216902221	0	0	0.00100951831555	0.000288433804442	0	0.000721084511105	0.000144216902221	0.000144216902221	0.000288433804442	0	0.000144216902221	0	0	0.000144216902221	0	0.000288433804442	0	0.000288433804442	0	0	0	0.000288433804442	0.000144216902221	0	0	0.000576867608884	0.00129795211999	0.000432650706663	0.000432650706663	0.000288433804442	0.000144216902221	0	0.000721084511105	0.000144216902221	0.000576867608884	0.00100951831555	0.000288433804442	0.000432650706663	0.000288433804442	0.000721084511105	0.000865301413326	0.000288433804442	0.000288433804442
112	0.000576867608884	0.00100951831555	0.000576867608884	0.000288433804442	0.00129795211999	0.000576867608884	0.000721084511105	0.000144216902221	0.00129795211999	0.00259590423998	0.000144216902221	0.000432650706663	0.00187481972887	0.00173060282665	0.00144216902221	0.000721084511105	0.000721084511105	0.00216325353331	0.000144216902221	0.00187481972887	0.00216325353331	0.000865301413326	0.00302855494664	0	0	0.00187481972887	0.000144216902221	0.00100951831555	0.000576867608884	0.00158638592443	0.000432650706663	0.000432650706663	0	0.00115373521777	0	0.000865301413326	0.000721084511105	0	0.00187481972887	0.000576867608884	0	0.000721084511105	0.00115373521777	0.000288433804442	0.00173060282665	0.00100951831555	0.00317277184886	0.000576867608884	0.000432650706663	0.00201903663109	0.00115373521777	0.00144216902221	0.000432650706663	0.00100951831555	0.000144216902221	0.000576867608884	0	0.00173060282665	0.000865301413326	0.00144216902221	0.000432650706663	0.00100951831555	0.000576867608884
1137	0.000432650706663	0.00533602538217	0.000432650706663	0	0	0	0	0.000432650706663	0.00187481972887	0.000288433804442	0.000288433804442	0.000721084511105	0.000432650706663	0.000432650706663	0.000144216902221	0	0.000144216902221	0.00403807326219	0.00144216902221	0.00576867608884	0	0	0.000721084511105	0	0	0.000144216902221	0	0.00115373521777	0	0.000721084511105	0.00115373521777	0.000865301413326	0.000576867608884	0.000432650706663	0.000144216902221	0.000144216902221	0	0.000144216902221	0.00230747043554	0	0.000144216902221	0.000144216902221	0	0	0.00100951831555	0.00187481972887	0.00100951831555	0.000288433804442	0.000288433804442	0	0.00129795211999	0.000288433804442	0.00115373521777	0.000576867608884	0.000865301413326	0	0.000576867608884	0.000576867608884	0.000432650706663	0.000721084511105	0.000288433804442	0.000721084511105	0.00115373521777
11913	0.00100951831555	0.00158638592443	0.00216325353331	0.000576867608884	0.000432650706663	0.000721084511105	0	0.00173060282665	0.00100951831555	0.000576867608884	0.00389385635997	0.000865301413326	0.00115373521777	0.000721084511105	0.00432650706663	0.00100951831555	0.00129795211999	0.00201903663109	0.000288433804442	0.00129795211999	0.00144216902221	0.000432650706663	0.00245168733776	0	0	0.00216325353331	0.00115373521777	0.00115373521777	0.00100951831555	0.00201903663109	0.000144216902221	0	0.000576867608884	0.000721084511105	0.000721084511105	0.000721084511105	0.000432650706663	0.000576867608884	0.000144216902221	0	0.000144216902221	0.000144216902221	0.000865301413326	0	0.000144216902221	0.00129795211999	0.00115373521777	0.00115373521777	0.000144216902221	0.000144216902221	0.00115373521777	0.000576867608884	0.000144216902221	0.000288433804442	0.000288433804442	0	0.000144216902221	0.000576867608884	0.000288433804442	0.000288433804442	0.00317277184886	0.000865301413326	0.00144216902221
1138	0	0	0	0	0.000432650706663	0.000576867608884	0	0	0.000288433804442	0.000288433804442	0.000144216902221	0.000288433804442	0.000432650706663	0.000288433804442	0	0.000144216902221	0	0	0	0	0.000144216902221	0	0.000288433804442	0	0	0.000288433804442	0.000144216902221	0.000432650706663	0.000288433804442	0	0.000288433804442	0.000288433804442	0	0.000432650706663	0.000721084511105	0	0.000576867608884	0	0.000144216902221	0	0.000432650706663	0.000288433804442	0.000865301413326	0.000576867608884	0.000144216902221	0	0	0.000144216902221	0.000144216902221	0.000288433804442	0.000432650706663	0.000432650706663	0	0.000432650706663	0.000144216902221	0.000144216902221	0.00100951831555	0.000144216902221	0.000721084511105	0	0	0.000144216902221	0
1148	0.000288433804442	0.000144216902221	0.000144216902221	0	0.000144216902221	0.000288433804442	0	0.000144216902221	0	0	0	0	0.000432650706663	0	0.000144216902221	0.000288433804442	0.000144216902221	0	0	0.000144216902221	0	0.000288433804442	0.000288433804442	0	0.000865301413326	0.000721084511105	0.000288433804442	0.000432650706663	0.000576867608884	0.000288433804442	0.000144216902221	0	0	0.000288433804442	0.000288433804442	0	0.000432650706663	0.000144216902221	0.000288433804442	0.000144216902221	0.000144216902221	0	0.000144216902221	0	0.000144216902221	0.000144216902221	0.000432650706663	0	0	0	0.000144216902221	0	0	0	0.000144216902221	0.000144216902221	0	0.000721084511105	0.000144216902221	0.000432650706663	0.000721084511105	0.000144216902221	0.000144216902221
1151	0.00173060282665	0.00100951831555	0.00115373521777	0.00216325353331	0.000576867608884	0.000288433804442	0.000576867608884	0.000432650706663	0.000721084511105	0.000144216902221	0.000576867608884	0.000288433804442	0.000144216902221	0.000288433804442	0.000144216902221	0.000144216902221	0.000288433804442	0.000144216902221	0	0.000144216902221	0.000288433804442	0.000865301413326	0.000144216902221	0.000576867608884	0.000144216902221	0.00129795211999	0.00115373521777	0.00100951831555	0.00144216902221	0.00201903663109	0.000576867608884	0	0	0.00115373521777	0.00115373521777	0.000865301413326	0.00115373521777	0.00115373521777	0.000721084511105	0.000721084511105	0.000288433804442	0.000432650706663	0.000288433804442	0.000576867608884	0.000721084511105	0.00158638592443	0.000432650706663	0.000288433804442	0.000144216902221	0	0.000144216902221	0.000288433804442	0	0.000288433804442	0.000144216902221	0.000288433804442	0.000144216902221	0.000144216902221	0.000576867608884	0.000144216902221	0.00937409864436	0.00144216902221	0.00302855494664
12111	0	0	0.000288433804442	0	0.000721084511105	0	0.000144216902221	0	0	0.000144216902221	0	0.000432650706663	0.000144216902221	0	0	0	0	0	0	0	0.000144216902221	0	0	0	0	0	0.000144216902221	0.000288433804442	0	0.00432650706663	0.0027401211422	0.00245168733776	0	0	0.000144216902221	0.000144216902221	0.00216325353331	0	0.000288433804442	0	0	0.000432650706663	0.000144216902221	0.000288433804442	0.000576867608884	0.000144216902221	0	0	0.000288433804442	0.00144216902221	0	0	0	0	0	0	0.000432650706663	0	0.000576867608884	0.00100951831555	0	0	0.000144216902221
114	0.000144216902221	0.000144216902221	0.000144216902221	0.000288433804442	0	0.000865301413326	0.00288433804442	0.000288433804442	0.000576867608884	0.000288433804442	0.000288433804442	0.00216325353331	0.000432650706663	0.000288433804442	0	0.000432650706663	0.000144216902221	0.00115373521777	0.00245168733776	0	0	0.000144216902221	0.000144216902221	0	0	0.000288433804442	0.00144216902221	0.00115373521777	0.000576867608884	0.000576867608884	0.000865301413326	0.000144216902221	0.000721084511105	0	0.000144216902221	0.000288433804442	0.00144216902221	0.000288433804442	0.000721084511105	0.00490337467551	0.000144216902221	0	0	0.000432650706663	0.00158638592443	0.000865301413326	0.00591289299106	0.000144216902221	0.00115373521777	0.000576867608884	0.00115373521777	0.00144216902221	0.000144216902221	0	0.000865301413326	0.00937409864436	0.000432650706663	0.00158638592443	0.000288433804442	0.00230747043554	0.000288433804442	0.00187481972887	0.000288433804442
12122	0	0.000144216902221	0	0	0.000144216902221	0	0	0.000144216902221	0	0	0.000144216902221	0.000144216902221	0.000144216902221	0	0	0	0	0	0	0	0.000144216902221	0.000144216902221	0.000288433804442	0	0	0.000144216902221	0	0	0.000432650706663	0	0	0	0	0	0.000288433804442	0	0.000432650706663	0	0.000144216902221	0.000432650706663	0.000288433804442	0.000721084511105	0.000288433804442	0.000144216902221	0	0.000144216902221	0.000144216902221	0	0	0	0.000144216902221	0.000144216902221	0	0.000288433804442	0	0	0.000288433804442	0	0.000144216902221	0	0.000144216902221	0	0.000144216902221
12283	0	0	0	0	0.000144216902221	0.000144216902221	0.000144216902221	0	0.000144216902221	0	0	0.000288433804442	0	0	0	0	0	0	0.000144216902221	0	0	0.000432650706663	0.000144216902221	0	0.000432650706663	0.000288433804442	0	0	0.000432650706663	0	0.000288433804442	0.00129795211999	0.000432650706663	0	0.000144216902221	0	0.000144216902221	0.000288433804442	0.000144216902221	0.000144216902221	0.000576867608884	0	0	0.000288433804442	0	0	0.000288433804442	0.000144216902221	0.000144216902221	0.000432650706663	0	0.000288433804442	0	0.000144216902221	0.000432650706663	0	0.000144216902221	0	0.000144216902221	0	0	0.000144216902221	0.00100951831555
1172	0.000288433804442	0.000144216902221	0	0	0	0.000288433804442	0.000144216902221	0.000288433804442	0	0.000144216902221	0.000432650706663	0.000144216902221	0.00158638592443	0.000721084511105	0.000288433804442	0.000288433804442	0.000432650706663	0.000288433804442	0	0.000144216902221	0.000865301413326	0.000288433804442	0.000288433804442	0	0.000144216902221	0.000144216902221	0.000144216902221	0	0.000144216902221	0.000288433804442	0.000288433804442	0.000144216902221	0.000288433804442	0	0.000144216902221	0	0.000144216902221	0.000144216902221	0.000144216902221	0	0.000144216902221	0.000144216902221	0	0	0.000288433804442	0.000144216902221	0	0	0	0.000288433804442	0.000144216902221	0.000144216902221	0.000288433804442	0	0	0.000144216902221	0.000576867608884	0.000288433804442	0.000432650706663	0.000288433804442	0.000144216902221	0	0.000432650706663
1174	0.00230747043554	0.000576867608884	0.000288433804442	0.00187481972887	0.000432650706663	0.000144216902221	0.000144216902221	0.000721084511105	0.00129795211999	0	0.0103836169599	0.000432650706663	0.000865301413326	0.000576867608884	0.00389385635997	0.00245168733776	0.000576867608884	0.00576867608884	0.000576867608884	0.00259590423998	0.00331698875108	0.00432650706663	0.000432650706663	0.000144216902221	0	0.000432650706663	0.000288433804442	0.000288433804442	0.000721084511105	0.000721084511105	0.00302855494664	0.00100951831555	0.000288433804442	0.000144216902221	0.00187481972887	0.000288433804442	0.000721084511105	0	0.000576867608884	0.000144216902221	0.00144216902221	0.000144216902221	0.00100951831555	0.000865301413326	0.000576867608884	0	0.00173060282665	0.0027401211422	0.000721084511105	0.000865301413326	0.00562445918662	0.00100951831555	0.00129795211999	0.00173060282665	0.000721084511105	0.00259590423998	0.00144216902221	0.00115373521777	0.00216325353331	0.00187481972887	0.000721084511105	0.000865301413326	0
116	0.00115373521777	0.000865301413326	0.00115373521777	0.000576867608884	0	0.000432650706663	0.000576867608884	0.000576867608884	0.000721084511105	0.00100951831555	0.00158638592443	0.000144216902221	0.000721084511105	0.000288433804442	0.000865301413326	0.00144216902221	0.000865301413326	0.00144216902221	0.000721084511105	0.00158638592443	0.00447072396885	0.00187481972887	0.00100951831555	0	0	0.000432650706663	0.000432650706663	0.000432650706663	0.000721084511105	0.00144216902221	0.00187481972887	0.000576867608884	0.000865301413326	0	0.000865301413326	0.000576867608884	0.000144216902221	0.00115373521777	0.000288433804442	0.00158638592443	0.00201903663109	0.00100951831555	0.000576867608884	0.000721084511105	0.00129795211999	0.000865301413326	0.00259590423998	0.000865301413326	0.000288433804442	0.000576867608884	0.00447072396885	0.00100951831555	0.00201903663109	0.00100951831555	0.000865301413326	0.000721084511105	0.00201903663109	0.00144216902221	0.000865301413326	0.00201903663109	0.000288433804442	0.00216325353331	0.000144216902221
12459	0.000144216902221	0.000865301413326	0.000865301413326	0.00144216902221	0.000432650706663	0.000432650706663	0.000721084511105	0.000144216902221	0	0.000288433804442	0.000288433804442	0.000576867608884	0	0.000288433804442	0.000144216902221	0.000576867608884	0.000721084511105	0.000144216902221	0.000432650706663	0.000432650706663	0.000144216902221	0	0.00100951831555	0.000144216902221	0	0.000432650706663	0.00288433804442	0.000432650706663	0.000288433804442	0.000288433804442	0.000288433804442	0.000432650706663	0	0.000144216902221	0	0	0.000288433804442	0.000432650706663	0.000288433804442	0.000865301413326	0.000144216902221	0	0.000288433804442	0.000144216902221	0.000144216902221	0.000576867608884	0.000144216902221	0.000576867608884	0	0	0.000144216902221	0	0.000432650706663	0.000432650706663	0.000288433804442	0.000144216902221	0	0.000144216902221	0	0.000576867608884	0.000432650706663	0.00115373521777	0.00158638592443
12472	0	0.000144216902221	0.000144216902221	0.000144216902221	0.000576867608884	0.000144216902221	0.000288433804442	0.000288433804442	0.000288433804442	0	0	0.000144216902221	0.000576867608884	0.000144216902221	0	0	0.000144216902221	0.000288433804442	0.000288433804442	0.000144216902221	0.000144216902221	0.000432650706663	0.000288433804442	0	0	0.000144216902221	0	0.000432650706663	0.000432650706663	0.00144216902221	0.000721084511105	0.000576867608884	0.000144216902221	0.00100951831555	0.000288433804442	0	0.00115373521777	0.000288433804442	0.000432650706663	0.000721084511105	0.000432650706663	0.00187481972887	0.000288433804442	0.000576867608884	0.000721084511105	0.000432650706663	0.000432650706663	0.000288433804442	0.000144216902221	0.000576867608884	0.000288433804442	0.000144216902221	0.000288433804442	0.00115373521777	0	0.000288433804442	0.000432650706663	0.000144216902221	0.000432650706663	0.000144216902221	0.00144216902221	0.000432650706663	0
1187	0	0	0	0.00187481972887	0.000721084511105	0	0.00374963945774	0.000432650706663	0.000432650706663	0.0027401211422	0.000144216902221	0.00259590423998	0.000721084511105	0.000144216902221	0.000144216902221	0	0.000144216902221	0.000288433804442	0.000432650706663	0.000576867608884	0.000288433804442	0	0.000432650706663	0	0	0	0	0.00144216902221	0.000144216902221	0.000865301413326	0.00173060282665	0.00129795211999	0.00158638592443	0.000576867608884	0.000576867608884	0.000144216902221	0.000576867608884	0	0.000144216902221	0.000865301413326	0.000288433804442	0.00245168733776	0	0.000144216902221	0.000432650706663	0.0034612056533	0.00360542255552	0.000721084511105	0.00129795211999	0.00129795211999	0.00144216902221	0.00100951831555	0.000721084511105	0.00216325353331	0.00129795211999	0.00230747043554	0.000288433804442	0.000432650706663	0.000865301413326	0.00100951831555	0	0.00158638592443	0.000432650706663
117	0.000288433804442	0.00100951831555	0.00216325353331	0.000144216902221	0	0.000432650706663	0	0.000432650706663	0.00129795211999	0.00331698875108	0.00749927891549	0.000144216902221	0.000432650706663	0.000865301413326	0.000432650706663	0.00173060282665	0.000288433804442	0.000432650706663	0.000288433804442	0.000144216902221	0.000721084511105	0.00216325353331	0.000288433804442	0	0	0.000576867608884	0.000144216902221	0	0.00100951831555	0	0	0.000288433804442	0.00129795211999	0.000144216902221	0.00173060282665	0	0.00129795211999	0.000432650706663	0.00187481972887	0.00201903663109	0.00475915777329	0.000288433804442	0.00504759157773	0.00158638592443	0	0	0	0.00187481972887	0.00144216902221	0.00100951831555	0	0	0.00144216902221	0.00504759157773	0.000288433804442	0.000576867608884	0.0034612056533	0.000865301413326	0.00115373521777	0.00360542255552	0.000288433804442	0.000144216902221	0
1190	0.000288433804442	0.000288433804442	0.000288433804442	0.000721084511105	0.000865301413326	0.00115373521777	0.000144216902221	0.000432650706663	0.000432650706663	0.000721084511105	0	0.00129795211999	0.000721084511105	0.000865301413326	0	0	0.0027401211422	0.000288433804442	0.00317277184886	0.000576867608884	0.000288433804442	0	0.00115373521777	0	0	0.000144216902221	0	0.000288433804442	0.000288433804442	0.000144216902221	0.000576867608884	0.000144216902221	0.000144216902221	0.000144216902221	0.000144216902221	0	0.000144216902221	0.000432650706663	0	0	0.000288433804442	0	0.000432650706663	0.000144216902221	0.000144216902221	0.000576867608884	0.000144216902221	0.000144216902221	0	0.000432650706663	0.000576867608884	0	0.000432650706663	0.000576867608884	0	0.000576867608884	0	0.000288433804442	0.000144216902221	0.000288433804442	0	0.000576867608884	0.000144216902221
1204	0	0.000288433804442	0.000144216902221	0.000432650706663	0	0.000288433804442	0.000144216902221	0	0.000288433804442	0.000288433804442	0.000144216902221	0	0.000288433804442	0.000144216902221	0.00230747043554	0	0	0.000865301413326	0	0.000288433804442	0.00129795211999	0.000432650706663	0.000144216902221	0	0	0	0	0	0	0	0	0	0	0	0	0.000144216902221	0	0	0	0.000144216902221	0	0	0.000144216902221	0	0	0	0	0.000721084511105	0	0.000144216902221	0.000144216902221	0	0	0.000288433804442	0	0.000432650706663	0	0.000432650706663	0.000288433804442	0.000432650706663	0	0.000144216902221	0.000144216902221
1207	0.000288433804442	0	0	0.000288433804442	0.000288433804442	0.000432650706663	0	0.000288433804442	0.000432650706663	0.000288433804442	0	0.000288433804442	0.0027401211422	0.00129795211999	0.000144216902221	0.00129795211999	0.000721084511105	0.00129795211999	0.000865301413326	0.000288433804442	0	0.000576867608884	0.000576867608884	0.000144216902221	0	0	0.000144216902221	0	0.000288433804442	0	0.000576867608884	0	0.000288433804442	0.000288433804442	0.000288433804442	0	0.000144216902221	0	0.000144216902221	0.000432650706663	0	0	0.000576867608884	0.000288433804442	0.000144216902221	0.000432650706663	0.000288433804442	0.000432650706663	0.000288433804442	0.000144216902221	0	0	0.000721084511105	0.000432650706663	0.000576867608884	0.000288433804442	0.000576867608884	0.000721084511105	0.00115373521777	0.000288433804442	0	0	0
119	0.00173060282665	0.000288433804442	0.000288433804442	0.000288433804442	0.000432650706663	0	0.000721084511105	0.00115373521777	0	0	0.000576867608884	0.000576867608884	0.000288433804442	0.000576867608884	0.00100951831555	0.000865301413326	0.00158638592443	0.000288433804442	0.000288433804442	0	0.000576867608884	0.000288433804442	0.00158638592443	0	0.00692241130661	0.000576867608884	0.000144216902221	0.000432650706663	0.000288433804442	0.000144216902221	0.000288433804442	0.000288433804442	0	0	0.000288433804442	0.000576867608884	0.000432650706663	0.00201903663109	0	0	0.000721084511105	0.000288433804442	0.000144216902221	0.000288433804442	0.00173060282665	0.000432650706663	0	0.000576867608884	0	0	0.00230747043554	0	0.000288433804442	0	0	0.000288433804442	0.000288433804442	0	0.000144216902221	0.000288433804442	0.000432650706663	0.000721084511105	0.000144216902221
12757	0.000288433804442	0.000288433804442	0.000144216902221	0.000432650706663	0.000144216902221	0.000432650706663	0	0	0.000432650706663	0.000144216902221	0	0	0.000288433804442	0.000144216902221	0	0.000576867608884	0	0	0.000288433804442	0.000144216902221	0	0	0	0	0	0.000288433804442	0.000144216902221	0.000721084511105	0.000576867608884	0.000144216902221	0.00100951831555	0.000288433804442	0	0.000576867608884	0.000144216902221	0.000144216902221	0.000288433804442	0.000432650706663	0.000288433804442	0	0.000288433804442	0.000144216902221	0	0.000288433804442	0.000144216902221	0.000288433804442	0.000576867608884	0.000432650706663	0.000144216902221	0.000144216902221	0.000144216902221	0.000432650706663	0	0	0	0.000288433804442	0	0.000144216902221	0.000288433804442	0.000288433804442	0.000721084511105	0.000144216902221	0.000288433804442
